Ferm Fynydd Hill Farm (recto),unknown,landscape,Gwynedd Council Collection,nwm_gccc_gccc13b_large.jpeg
Ferm Fynydd Hill Farm (verso),unknown,landscape,Gwynedd Council Collection,nwm_gccc_gccc13_large.jpeg
Crib Goch,unknown,landscape,Gwynedd Council Collection,nwm_gccc_gccc009_large.jpeg
Crib Coch and Llanberis Pass,unknown,landscape,Newport Museum and Art Gallery,sw_npmag_1960_1_large.jpeg
Cwm Pennant,unknown,landscape,Newport Museum and Art Gallery,sw_npmag_1953_78_large.jpeg
"Deserted Farm, Llanrhuddlad",1970,landscape,Southend Museums Service,esx_bag_souag_s100_large.jpeg
Sea at Trearddur,1976,seascape,Southend Museums Service,esx_bag_souag_s159_large.jpeg
Y Garn a Foel Goch,1950,landscape,Scarborough Museums and Gallery,ny_smg_sag_180_large.jpeg
"Councillor Dora Phyllis Oxenham (1910–1996), CBE, Chair of Northamptonshire County Council (1969–1972)",1960-1970,portrait,Northamptonshire County Council,bcn_norcc_pcf_07_large.jpeg
"Mynydd Bodafon, Anglesey",unknown,landscape,Hereford Museum and Art Gallery,hsw_hmag_7651_large.jpeg
Talsarn,1981,landscape,Hereford Museum and Art Gallery,hsw_hmag_1986_46_1_large.jpeg
Hill Farm in Meirioneth,1958 or earlier,landscape,Herbert Museum and Art Gallery,war_herb_179_large.jpeg
Pony on Llanddwyn Island,unknown,landscape,Derbyshire and Derby School Library Service,dby_sls_f2137_large.jpeg
Landscape at Llanelhaearn,1947,landscape,Arts Council Collection,acc_acc_ac_48_large.jpeg
The Old Soldier,1951,portrait,Arts Council Collection,acc_acc_ac_229_large.jpeg
The Dark Lake,1951,landscape,Swindon Art Gallery,glw_swag_ag1978_24_large.jpeg
Tryfan no.2,unknown,landscape,Atkinson Art Gallery Collection,mer_sec_1727_large.jpeg
Snow above Beddgelert,1959,landscape,National Museums Liverpool,nml_warg_wag_4243_large.jpeg
"The Church and Cottages, Aberffraw",1960s,landscape,Merthyr Tydfil Museums Service,sw_mtm_2_989_1_large.jpeg
Drwyscoed,unknown,landscape,Merthyr Tydfil Museums Service,sw_mtm_760_992_large.jpeg
Mountain Landscape,1957,landscape,Merthyr Tydfil Museums Service,sw_mtm_210_990_large.jpeg
Snowdon,unknown,landscape,Alun School,nwm_alu_pcf1_large.jpeg
Tom Owen,1951,portrait,Carmarthenshire Museums Service Collection,nwm_chcc_2002_0733_large.jpeg
Hill Farmers,unknown,portrait,Bodelwyddan Castle Trust,nwm_bct_bct_2009_193_large.jpeg
Farm Behind Harlech,unknown,landscape,Amgueddfa Ceredigion Museum,nwm_cdgm_pcf300_large.jpeg
Welsh Landscape,unknown,landscape,Cardiff University,sw_cuniv_132_large.jpeg
Welsh Landscape with Farmers,unknown,landscape,Cardiff University,sw_cuniv_207_large.jpeg
"Pen Carnen, Ty Ddewi",unknown,landscape,National Museum of Wales/ Amgueddfa Cymru,acnmw_acnmw_b2_large.jpeg
Pencamedd Llansadwrn,unknown,landscape,National Museum of Wales/ Amgueddfa Cymru,acnmw_acnmw_p_260_1_large.jpeg
Figure and Mountains (verso),unknown,landscape,National Museum of Wales/ Amgueddfa Cymru,acnmw_acnmw_b2r_large.jpeg
